"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Bild 1 // Mehr dazu",2026-01-09,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,3288,3691,11.45,-,-,-,22.9,0.05418586,6.20428068,1.12256691,2026-01-09,2026-01-09
"Carousel 1 // Mehr dazu",2025-12-16,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1434,1751,22.59,-,-,-,22.59,0.05711022,12.90119931,1.22105997,2025-12-16,2025-12-16
"TH-Reel // Mehr dazu",2025-12-08,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1884,2172,11.11,-,-,-,22.22,0.09208103,10.23020258,1.15286624,2025-12-08,2025-12-08
"Bild 2 // Mehr dazu",2025-12-31,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,2145,2437,10.915,-,-,-,21.83,0.08206812,8.95773492,1.13613054,2025-12-31,2025-12-31
"Bild 1 // Mehr dazu",2026-01-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",5,3304,3721,4.204,-,-,-,21.02,0.13437248,5.64901908,1.12621065,2026-01-10,2026-01-10
"Bild 1 // Mehr dazu",2026-01-05,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view",,,3884,4606,,-,-,-,20.59,,4.47025619,1.18589083,2026-01-05,2026-01-05
"Bild 2 // Mehr dazu",2025-12-28,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1571,1875,10.075,-,-,-,20.15,0.10666667,10.74666667,1.19350732,2025-12-28,2025-12-28
"Bild 1 // Mehr dazu",2026-01-12,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,3161,3604,10.04,-,-,-,20.08,0.0554939,5.57158713,1.14014552,2026-01-12,2026-01-12
"Bild 2 // Mehr dazu",2025-12-29,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1584,1842,18.82,-,-,-,18.82,0.05428882,10.21715527,1.16287879,2025-12-29,2025-12-29
"Bild 1 // Mehr dazu",2026-01-03,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",4,3677,4292,4.5875,-,-,-,18.35,0.09319664,4.27539609,1.16725592,2026-01-03,2026-01-03
